,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position,teamName,opponent,Date
3,8,31,14,6,True,2023-09-03T15:30:00Z,3,1,4,14,1,0,0,0,0,0,0,1,0,0,2,25,35.0,11.3,23.0,6.9,0,0.67,0.04,0.71,0.06,79,16469,147993,29980,13511,G.Jesus,Arsenal,4,Forward,Arsenal,Man Utd,2023-09-03
4,8,43,9,1,False,2023-09-17T15:30:00Z,0,1,5,24,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,0.3,2.0,0.3,0,0.00,0.00,0.00,0.19,79,115363,295935,139534,24171,G.Jesus,Arsenal,4,Forward,Arsenal,Everton,2023-09-17
5,8,51,18,2,True,2023-09-24T13:00:00Z,2,2,6,76,0,0,0,2,0,0,0,0,0,0,0,1,9.6,2.6,33.0,4.5,1,0.50,0.01,0.51,1.31,79,21494,322860,55836,34342,G.Jesus,Arsenal,4,Forward,Arsenal,Spurs,2023-09-24
6,8,62,3,5,False,2023-09-30T14:00:00Z,0,4,7,90,0,1,1,0,0,0,0,0,0,0,0,20,9.4,35.2,20.0,6.5,1,0.11,0.19,0.30,0.69,80,61954,408882,92182,30228,G.Jesus,Arsenal,4,Forward,Arsenal,Bournemouth,2023-09-30
7,8,71,13,1,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,1,0,0,0,-1,9.2,8.2,17.0,3.4,1,0.02,0.05,0.07,0.55,80,-53865,348172,19574,73439,G.Jesus,Arsenal,4,Forward,Arsenal,Man City,2023-10-08
8,8,84,7,2,False,2023-10-21T16:30:00Z,2,2,9,67,0,0,0,2,0,0,0,0,0,0,0,6,0.6,0.8,14.0,1.5,1,0.27,0.00,0.27,1.30,79,-5821,356346,28245,34066,G.Jesus,Arsenal,4,Forward,Arsenal,Chelsea,2023-10-21
9,8,91,17,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,79,-64994,292608,22337,87331,G.Jesus,Arsenal,4,Forward,Arsenal,Sheffield Utd,2023-10-28
10,8,107,15,0,False,2023-11-04T17:30:00Z,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,78,-76677,216473,547,77224,G.Jesus,Arsenal,4,Forward,Arsenal,Newcastle,2023-11-04
11,8,111,6,0,True,2023-11-11T15:00:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,78,-21811,196315,724,22535,G.Jesus,Arsenal,4,Forward,Arsenal,Burnley,2023-11-11
12,8,121,4,2,False,2023-11-25T17:30:00Z,0,1,13,65,0,0,1,0,0,0,0,0,0,0,0,0,4.6,2.1,47.0,5.4,1,0.51,0.01,0.52,0.61,78,28803,232396,38109,9306,G.Jesus,Arsenal,4,Forward,Arsenal,Brentford,2023-11-25
13,8,131,20,2,True,2023-12-02T15:00:00Z,2,1,14,66,0,0,1,0,0,0,0,0,0,0,0,1,2.6,12.0,34.0,4.9,1,0.52,0.04,0.56,0.58,78,94464,329817,104270,9806,G.Jesus,Arsenal,4,Forward,Arsenal,Wolves,2023-12-02
14,8,146,12,11,False,2023-12-05T20:15:00Z,3,4,15,90,1,1,0,3,0,0,0,1,0,0,3,48,67.8,58.2,89.0,21.5,1,0.70,0.44,1.14,0.50,79,17771,347472,36734,18963,G.Jesus,Arsenal,4,Forward,Arsenal,Luton,2023-12-05
15,8,151,2,2,False,2023-12-09T17:30:00Z,1,0,16,81,0,0,0,1,0,0,0,0,0,0,0,3,12.2,15.9,27.0,5.5,1,0.04,0.17,0.21,0.42,79,44968,397082,62371,17403,G.Jesus,Arsenal,4,Forward,Arsenal,Aston Villa,2023-12-09
16,8,161,5,9,True,2023-12-17T14:00:00Z,2,0,17,80,1,0,1,0,0,0,0,0,0,0,3,40,40.8,28.3,64.0,13.3,1,0.44,0.05,0.49,0.08,79,43006,448639,66290,23284,G.Jesus,Arsenal,4,Forward,Arsenal,Brighton,2023-12-17
0,9,2,16,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,14497,0,0,Jorginho,Arsenal,3,Midfielder,Arsenal,Nott'm Forest,2023-08-12
1,9,12,8,1,False,2023-08-21T19:00:00Z,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,5,3.6,0.6,0.0,0.4,0,0.00,0.01,0.01,0.59,55,-1903,19464,1215,3118,Jorginho,Arsenal,3,Midfielder,Arsenal,Crystal Palace,2023-08-21
2,9,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,6,0,0,0,1,0,0,0,0,0,0,0,4,4.2,6.7,0.0,1.1,0,0.00,0.03,0.03,0.25,55,-1887,19366,652,2539,Jorginho,Arsenal,3,Midfielder,Arsenal,Fulham,2023-08-26
3,9,31,14,1,True,2023-09-03T15:30:00Z,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-1618,18732,392,2010,Jorginho,Arsenal,3,Midfielder,Arsenal,Man Utd,2023-09-03
